               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.019788,            0.011801,            0.026341,             0.76856,             0.76027,             0.83634,             0.73411,            0.028516,           0.0064803,             0.01979,            0.008812,            0.008812,            0.008812
                  38,            0.022698,            0.011899,            0.026137,             0.84788,             0.81385,             0.87539,             0.76475,            0.030622,           0.0068964,            0.011356,            0.008779,            0.008779,            0.008779
                  39,            0.020604,            0.011581,            0.028015,             0.87153,             0.85736,             0.90843,             0.78399,            0.027162,             0.00577,            0.014182,            0.008746,            0.008746,            0.008746
                  40,             0.02023,            0.011182,            0.025196,             0.86587,             0.86589,             0.90856,             0.79154,            0.029075,           0.0058745,            0.016342,            0.008713,            0.008713,            0.008713
                  41,            0.020381,            0.011358,            0.027257,             0.68922,             0.65751,             0.70442,             0.61675,            0.029268,           0.0065556,            0.030277,             0.00868,             0.00868,             0.00868
                  42,            0.020466,            0.011333,            0.027982,             0.88249,              0.8662,             0.91148,             0.80424,            0.028586,           0.0055848,            0.012186,            0.008647,            0.008647,            0.008647
                  43,            0.020493,            0.011666,            0.026136,             0.86339,             0.92395,             0.92229,             0.81392,            0.027961,           0.0054567,            0.011038,            0.008614,            0.008614,            0.008614
                  44,            0.018334,            0.010793,            0.025414,             0.87685,             0.78598,             0.87467,              0.7698,            0.028911,           0.0062998,            0.012116,            0.008581,            0.008581,            0.008581
                  45,            0.019334,            0.011865,             0.02627,             0.88326,             0.84649,              0.8696,             0.76544,              0.0283,            0.006333,            0.010902,            0.008548,            0.008548,            0.008548
                  46,             0.02018,            0.011503,            0.026869,             0.86724,             0.87625,             0.90404,             0.79721,            0.027822,           0.0057454,             0.01186,            0.008515,            0.008515,            0.008515
                  47,            0.019463,            0.011418,            0.026123,              0.8997,             0.91336,             0.92007,             0.81776,            0.026677,           0.0056369,            0.010903,            0.008482,            0.008482,            0.008482
                  48,            0.018897,             0.01096,            0.024916,             0.82019,             0.78451,             0.83665,             0.74332,            0.027072,           0.0061821,            0.013515,            0.008449,            0.008449,            0.008449
                  49,            0.019084,            0.010636,            0.026121,             0.79973,             0.72337,             0.79774,              0.7095,            0.028149,           0.0069475,            0.018671,            0.008416,            0.008416,            0.008416
                  50,             0.01869,             0.01047,            0.028974,             0.88535,             0.86747,             0.91006,             0.78822,            0.029919,           0.0059094,            0.010765,            0.008383,            0.008383,            0.008383
                  51,            0.018705,            0.011152,            0.024975,             0.83762,             0.81182,               0.842,             0.75316,            0.025966,           0.0060667,             0.01372,             0.00835,             0.00835,             0.00835
                  52,            0.019141,            0.010782,            0.024656,             0.86207,             0.83353,             0.88729,             0.78848,             0.02801,           0.0053831,            0.013543,            0.008317,            0.008317,            0.008317
                  53,            0.019776,            0.011296,            0.022906,             0.87214,             0.86925,             0.91003,             0.81989,            0.029358,           0.0055402,           0.0091824,            0.008284,            0.008284,            0.008284
                  54,            0.019889,            0.010723,            0.023711,             0.73141,             0.51841,             0.60053,             0.52954,            0.028519,           0.0080592,            0.023538,            0.008251,            0.008251,            0.008251
                  55,            0.019717,            0.011659,            0.024912,              0.8386,             0.76797,             0.83494,             0.75164,            0.026547,           0.0074534,            0.016279,            0.008218,            0.008218,            0.008218
                  56,            0.018075,            0.010792,            0.023947,             0.84469,             0.82695,             0.85136,             0.75316,            0.027654,           0.0066992,            0.010931,            0.008185,            0.008185,            0.008185
                  57,            0.019903,             0.01072,            0.024342,             0.82308,             0.77571,             0.83274,               0.752,            0.027956,           0.0065999,             0.01293,            0.008152,            0.008152,            0.008152
                  58,            0.018814,            0.011002,            0.026902,             0.89083,             0.90566,             0.93695,             0.84191,            0.027355,           0.0060284,            0.010921,            0.008119,            0.008119,            0.008119
                  59,            0.018824,            0.010764,            0.024671,             0.80751,             0.82437,             0.82957,             0.74613,            0.028491,           0.0066614,             0.01279,            0.008086,            0.008086,            0.008086
                  60,            0.017773,            0.010306,            0.022927,             0.92802,             0.87692,              0.9173,             0.83328,            0.027385,           0.0058694,           0.0086428,            0.008053,            0.008053,            0.008053
                  61,            0.018605,            0.010087,            0.023397,             0.78268,             0.73497,             0.80806,             0.71864,            0.027438,           0.0071601,            0.015783,             0.00802,             0.00802,             0.00802
                  62,            0.019735,            0.010678,            0.024618,             0.92878,             0.87398,             0.91591,               0.829,            0.026274,           0.0058837,           0.0088194,            0.007987,            0.007987,            0.007987
                  63,            0.017297,            0.010741,            0.023657,              0.9228,             0.90186,             0.92073,             0.83778,            0.025893,            0.006011,             0.00953,            0.007954,            0.007954,            0.007954
                  64,            0.018577,            0.010349,            0.022472,             0.63332,             0.53663,             0.56282,             0.50341,            0.028297,           0.0091784,            0.021867,            0.007921,            0.007921,            0.007921
                  65,            0.017205,           0.0099942,            0.026271,             0.90596,              0.8687,             0.91992,             0.82884,            0.027559,           0.0056334,            0.013761,            0.007888,            0.007888,            0.007888
                  66,            0.016707,           0.0099243,            0.026379,             0.93425,             0.90061,             0.93538,             0.84904,            0.027386,            0.005537,           0.0095379,            0.007855,            0.007855,            0.007855
                  67,            0.017811,            0.010818,            0.023039,             0.89546,             0.85031,              0.9023,             0.82152,             0.02849,           0.0062153,           0.0085412,            0.007822,            0.007822,            0.007822
                  68,            0.017916,            0.011116,            0.023416,             0.90008,             0.88309,             0.91899,             0.83936,            0.026587,           0.0060588,            0.010071,            0.007789,            0.007789,            0.007789
                  69,            0.017974,             0.01005,            0.021223,             0.89354,             0.86605,             0.90821,             0.81154,            0.028176,           0.0060871,           0.0081499,            0.007756,            0.007756,            0.007756
                  70,             0.01794,            0.010266,            0.022811,             0.86845,             0.81456,             0.87941,              0.8007,            0.026028,           0.0058011,           0.0088591,            0.007723,            0.007723,            0.007723
                  71,            0.017122,           0.0096008,            0.026726,             0.93495,             0.85402,             0.91162,             0.81127,             0.02648,           0.0057648,           0.0082949,             0.00769,             0.00769,             0.00769
                  72,            0.016079,            0.010047,            0.023647,              0.9209,             0.90166,             0.92412,             0.84048,            0.025135,           0.0059654,            0.010262,            0.007657,            0.007657,            0.007657
                  73,            0.016354,            0.010865,            0.024492,             0.94101,             0.90497,             0.93396,             0.84942,            0.027803,            0.005519,           0.0069773,            0.007624,            0.007624,            0.007624
                  74,            0.017616,            0.009881,              0.0247,             0.90821,             0.90649,             0.92782,             0.84659,            0.026669,           0.0058055,           0.0078183,            0.007591,            0.007591,            0.007591
                  75,            0.016498,           0.0096306,            0.023946,             0.91795,             0.88377,              0.9065,              0.8278,            0.027475,           0.0061935,           0.0089843,            0.007558,            0.007558,            0.007558
                  76,            0.018551,            0.010253,            0.021141,             0.86821,             0.84877,             0.87536,             0.79976,            0.026352,           0.0061591,            0.010783,            0.007525,            0.007525,            0.007525
                  77,            0.016521,            0.010148,            0.022924,             0.93485,             0.90353,             0.93018,             0.83914,            0.027516,           0.0057134,            0.008506,            0.007492,            0.007492,            0.007492
                  78,            0.016554,            0.010474,            0.022232,             0.93938,              0.8549,             0.90361,             0.83615,            0.026748,           0.0061848,            0.010523,            0.007459,            0.007459,            0.007459
                  79,            0.017285,             0.01052,            0.024199,             0.90524,             0.82172,             0.86826,             0.79713,            0.027465,           0.0065506,            0.011321,            0.007426,            0.007426,            0.007426
                  80,            0.016535,           0.0096405,            0.021687,             0.88169,             0.76893,             0.86152,             0.79274,            0.026773,           0.0065892,            0.013647,            0.007393,            0.007393,            0.007393
                  81,            0.016063,           0.0094666,            0.022174,             0.94436,             0.88641,             0.91898,             0.83277,            0.026404,           0.0061854,            0.010177,             0.00736,             0.00736,             0.00736
                  82,            0.018156,            0.010869,            0.021758,             0.91749,             0.89877,             0.92424,             0.83978,            0.026084,           0.0056047,           0.0094086,            0.007327,            0.007327,            0.007327
                  83,            0.016747,           0.0097164,            0.024807,              0.8712,             0.89899,             0.90907,             0.84144,            0.025086,           0.0055051,             0.01608,            0.007294,            0.007294,            0.007294
                  84,            0.016765,            0.010213,            0.023616,             0.89494,             0.87046,             0.90497,              0.8274,             0.02667,           0.0060023,            0.011518,            0.007261,            0.007261,            0.007261
                  85,            0.015461,           0.0094894,            0.024295,             0.91162,             0.85416,             0.90646,             0.82744,            0.026471,           0.0058023,             0.01181,            0.007228,            0.007228,            0.007228
                  86,            0.016434,            0.010023,            0.024355,             0.86981,             0.81738,             0.86311,             0.79231,            0.024901,           0.0060521,            0.013112,            0.007195,            0.007195,            0.007195
                  87,            0.016319,           0.0091179,            0.021348,             0.90823,             0.79304,             0.87179,             0.81088,            0.025083,           0.0061688,            0.013091,            0.007162,            0.007162,            0.007162
                  88,            0.017619,           0.0089241,            0.022965,             0.89231,             0.83006,             0.87552,             0.81204,            0.024908,           0.0060163,            0.010178,            0.007129,            0.007129,            0.007129
                  89,            0.016497,           0.0090185,             0.02114,             0.90413,             0.83328,             0.86777,             0.80131,            0.024886,           0.0066335,           0.0093331,            0.007096,            0.007096,            0.007096
                  90,            0.016367,           0.0093329,            0.023018,             0.93219,             0.84425,             0.87452,             0.81225,            0.025751,           0.0069924,           0.0094884,            0.007063,            0.007063,            0.007063
                  91,            0.014737,            0.009312,             0.01949,             0.85267,             0.81723,             0.85475,             0.79004,            0.024148,           0.0071459,           0.0080267,             0.00703,             0.00703,             0.00703
                  92,            0.017801,            0.010098,            0.023679,             0.88383,             0.85757,             0.88231,             0.80111,            0.023657,           0.0062435,           0.0099079,            0.006997,            0.006997,            0.006997
                  93,            0.015879,           0.0095692,            0.024079,             0.86671,             0.81743,             0.88113,             0.80718,            0.024829,           0.0062827,            0.012268,            0.006964,            0.006964,            0.006964
                  94,            0.015102,           0.0091103,            0.023419,             0.90227,             0.85433,             0.89867,              0.8272,            0.025673,           0.0062908,            0.011769,            0.006931,            0.006931,            0.006931
                  95,             0.01485,            0.009532,            0.023732,             0.90951,             0.88473,             0.92002,             0.84809,            0.023158,           0.0058142,            0.013416,            0.006898,            0.006898,            0.006898
                  96,            0.015634,            0.009353,             0.02203,             0.90573,             0.82461,             0.87313,             0.80747,            0.024909,           0.0063251,           0.0097458,            0.006865,            0.006865,            0.006865
                  97,             0.01636,           0.0098693,            0.025411,             0.93165,             0.85878,             0.89841,             0.83098,            0.025498,           0.0065453,            0.009291,            0.006832,            0.006832,            0.006832
                  98,            0.014576,           0.0093445,            0.024809,             0.94267,             0.89134,             0.91616,             0.84921,            0.025217,           0.0061323,           0.0079733,            0.006799,            0.006799,            0.006799
                  99,            0.014323,           0.0089754,            0.025374,             0.79483,             0.80645,             0.85119,             0.78232,            0.025926,           0.0066697,            0.011118,            0.006766,            0.006766,            0.006766
                 100,            0.015373,           0.0089352,            0.023261,             0.90687,             0.90499,             0.92441,             0.85308,            0.026558,            0.006098,           0.0083504,            0.006733,            0.006733,            0.006733
                 101,            0.015529,           0.0098362,            0.023121,             0.91279,             0.90064,             0.91662,             0.85645,            0.025672,           0.0058649,           0.0090672,              0.0067,              0.0067,              0.0067
                 102,            0.014622,           0.0094217,            0.019951,             0.94182,             0.90557,             0.93021,             0.86714,            0.024963,           0.0053377,           0.0078147,            0.006667,            0.006667,            0.006667
                 103,            0.015458,           0.0092608,            0.024328,             0.89917,             0.88816,             0.91251,              0.8403,            0.024397,           0.0059446,           0.0089562,            0.006634,            0.006634,            0.006634
                 104,            0.016233,           0.0096421,            0.022051,             0.92356,             0.87305,             0.90514,             0.83254,            0.026054,           0.0059029,           0.0091521,            0.006601,            0.006601,            0.006601
                 105,            0.015851,           0.0088666,            0.024645,             0.92611,             0.91191,             0.93636,             0.86224,            0.023034,           0.0055101,            0.011308,            0.006568,            0.006568,            0.006568
                 106,            0.013839,            0.009177,            0.024467,               0.898,             0.84468,             0.89871,             0.82781,            0.021847,           0.0060697,            0.010105,            0.006535,            0.006535,            0.006535
                 107,            0.016323,           0.0091994,            0.021486,             0.94825,             0.83361,             0.90252,             0.83423,            0.022568,           0.0065615,           0.0086114,            0.006502,            0.006502,            0.006502
                 108,            0.015108,           0.0094774,            0.022565,             0.91857,             0.84853,             0.89072,              0.8312,            0.026062,           0.0064424,           0.0089866,            0.006469,            0.006469,            0.006469
